Title,URL,Categories,"Published Date"
三国（大阪市淀川区）,https://www.supercourt.jp/topics/hello-world/,お知らせ,"2014-02-20 16:53:36"
せいりょう（大阪市東住吉区）,https://www.supercourt.jp/topics/%e3%81%9b%e3%81%84%e3%82%8a%e3%82%87%e3%81%86/,お知らせ,"2012-05-21 19:49:47"
せいりょう巽北（大阪市生野区）,https://www.supercourt.jp/topics/%e3%81%9b%e3%81%84%e3%82%8a%e3%82%87%e3%81%86%e5%b7%bd%e5%8c%97%ef%bc%88%e5%a4%a7%e9%98%aa%e5%b8%82%e7%94%9f%e9%87%8e%e5%8c%ba%ef%bc%89/,お知らせ,"2012-05-21 20:23:04"
茨木さくら通り（大阪府茨木市）,https://www.supercourt.jp/topics/%e8%8c%a8%e6%9c%a8%e3%81%95%e3%81%8f%e3%82%89%e9%80%9a%e3%82%8a%ef%bc%88%e8%8c%a8%e6%9c%a8%e5%b8%82%e6%b2%a2%e8%89%af%e5%ae%9c%e6%9d%b1%e7%94%ba%ef%bc%89/,お知らせ,"2012-05-22 11:01:49"
茨木彩都（大阪府茨木市）,https://www.supercourt.jp/topics/%e8%8c%a8%e6%9c%a8%e5%bd%a9%e9%83%bd%ef%bc%88%e8%8c%a8%e6%9c%a8%e5%b8%82%e5%bd%a9%e9%83%bd%ef%bc%89/,お知らせ,"2012-05-22 12:06:39"
京・桂（京都市西京区）,https://www.supercourt.jp/topics/%e4%ba%ac%e3%83%bb%e6%a1%82%ef%bc%88%e4%ba%ac%e9%83%bd%e5%b8%82%e8%a5%bf%e4%ba%ac%e5%8c%ba%ef%bc%89/,お知らせ,"2012-05-22 15:19:10"
京・四条大宮（京都市中京区）,https://www.supercourt.jp/topics/%e4%ba%ac%e3%83%bb%e5%9b%9b%e6%9d%a1%e5%a4%a7%e5%ae%ae%ef%bc%88%e4%ba%ac%e9%83%bd%e5%b8%82%e4%b8%ad%e4%ba%ac%e5%8c%ba%ef%bc%89/,お知らせ,"2012-05-22 16:30:12"
郡山筒井（奈良県大和郡山市）,https://www.supercourt.jp/topics/%e9%83%a1%e5%b1%b1%e7%ad%92%e4%ba%95%ef%bc%88%e5%a5%88%e8%89%af%e7%9c%8c%e5%a4%a7%e5%92%8c%e9%83%a1%e5%b1%b1%e5%b8%82%ef%bc%89/,お知らせ,"2012-05-22 17:22:13"
高石羽衣（大阪府高石市）,https://www.supercourt.jp/topics/%e9%ab%98%e7%9f%b3%e7%be%bd%e8%a1%a3%ef%bc%88%e5%a4%a7%e9%98%aa%e5%ba%9c%e9%ab%98%e7%9f%b3%e5%b8%82%ef%bc%89/,お知らせ,"2012-05-22 19:07:09"
堺（大阪府堺市）,https://www.supercourt.jp/topics/%e5%a0%ba%ef%bc%88%e5%a4%a7%e9%98%aa%e5%ba%9c%e5%a0%ba%e5%b8%82%ef%bc%89/,お知らせ,"2012-05-22 19:32:16"
堺神石（大阪府堺市）,https://www.supercourt.jp/topics/%e5%a0%ba%e7%a5%9e%e7%9f%b3%ef%bc%88%e5%a4%a7%e9%98%aa%e5%ba%9c%e5%a0%ba%e5%b8%82%ef%bc%89/,お知らせ,"2012-05-22 20:30:28"
堺神石2号館（大阪府堺市）,https://www.supercourt.jp/topics/%e5%a0%ba%e7%a5%9e%e7%9f%b32%e5%8f%b7%e9%a4%a8%ef%bc%88%e5%a4%a7%e9%98%aa%e5%ba%9c%e5%a0%ba%e5%b8%82%ef%bc%89/,お知らせ,"2012-05-22 21:12:52"
堺白鷺（大阪府堺市）,https://www.supercourt.jp/topics/%e5%a0%ba%e7%99%bd%e9%b7%ba%ef%bc%88%e5%a4%a7%e9%98%aa%e5%ba%9c%e5%a0%ba%e5%b8%82%ef%bc%89/,お知らせ,"2012-05-22 21:33:15"
松原（大阪府松原市）,https://www.supercourt.jp/topics/%e6%9d%be%e5%8e%9f%ef%bc%88%e5%a4%a7%e9%98%aa%e5%ba%9c%e6%9d%be%e5%8e%9f%e5%b8%82%ef%bc%89/,お知らせ,"2012-05-23 10:24:52"
川西（兵庫県川西市）,https://www.supercourt.jp/topics/%e5%b7%9d%e8%a5%bf%ef%bc%88%e5%85%b5%e5%ba%ab%e7%9c%8c%e5%b7%9d%e8%a5%bf%e5%b8%82%ef%bc%89/,お知らせ,"2012-05-23 11:17:13"
川西加茂（兵庫県川西市）,https://www.supercourt.jp/topics/%e5%b7%9d%e8%a5%bf%e5%8a%a0%e8%8c%82%ef%bc%88%e5%85%b5%e5%ba%ab%e7%9c%8c%e5%b7%9d%e8%a5%bf%e5%b8%82%ef%bc%89/,お知らせ,"2012-05-23 11:43:21"
大阪城公園（大阪市城東区）,https://www.supercourt.jp/topics/%e5%a4%a7%e9%98%aa%e5%9f%8e%e5%85%ac%e5%9c%92%ef%bc%88%e5%a4%a7%e9%98%aa%e5%b8%82%e5%9f%8e%e6%9d%b1%e5%8c%ba%ef%bc%89/,お知らせ,"2012-05-23 13:11:17"
大東（大阪府大東市）,https://www.supercourt.jp/topics/%e5%a4%a7%e6%9d%b1%ef%bc%88%e5%a4%a7%e9%98%aa%e5%ba%9c%e5%a4%a7%e6%9d%b1%e5%b8%82%ef%bc%89/,お知らせ,"2012-05-23 14:14:04"
猪名寺（兵庫県尼崎市）,https://www.supercourt.jp/topics/%e7%8c%aa%e5%90%8d%e5%af%ba%ef%bc%88%e5%85%b5%e5%ba%ab%e7%9c%8c%e5%b0%bc%e5%b4%8e%e5%b8%82%ef%bc%89/,お知らせ,"2012-05-23 14:48:23"
東住吉1号館（大阪市東住吉区）,https://www.supercourt.jp/topics/%e6%9d%b1%e4%bd%8f%e5%90%891%e5%8f%b7%e9%a4%a8%ef%bc%88%e5%a4%a7%e9%98%aa%e5%b8%82%e6%9d%b1%e4%bd%8f%e5%90%89%e5%8c%ba%ef%bc%89/,お知らせ,"2012-05-23 15:29:35"
東住吉2号館（大阪市東住吉区）,https://www.supercourt.jp/topics/%e6%9d%b1%e4%bd%8f%e5%90%892%e5%8f%b7%e9%a4%a8%ef%bc%88%e5%a4%a7%e9%98%aa%e5%b8%82%e6%9d%b1%e4%bd%8f%e5%90%89%e5%8c%ba%ef%bc%89/,お知らせ,"2012-05-23 16:02:25"
東大阪みと（大阪府東大阪市）,https://www.supercourt.jp/topics/%e6%9d%b1%e5%a4%a7%e9%98%aa%e3%81%bf%e3%81%a8/,お知らせ,"2012-05-23 17:00:15"
JR奈良駅前（奈良県奈良市）,https://www.supercourt.jp/topics/jr%e5%a5%88%e8%89%af%e9%a7%85%e5%89%8d/,お知らせ,"2012-05-23 17:38:46"
南花屋敷（兵庫県川西市）,https://www.supercourt.jp/topics/%e5%8d%97%e8%8a%b1%e5%b1%8b%e6%95%b7/,お知らせ,"2012-05-23 18:05:54"
八尾（大阪府八尾市）,https://www.supercourt.jp/topics/%e5%85%ab%e5%b0%be%ef%bc%88%e5%a4%a7%e9%98%aa%e5%ba%9c%e5%85%ab%e5%b0%be%ef%bc%89/,お知らせ,"2012-05-23 18:54:35"
平野（大阪市平野区）,https://www.supercourt.jp/topics/%e5%b9%b3%e9%87%8e%ef%bc%88%e5%a4%a7%e9%98%aa%e5%b8%82%e5%b9%b3%e9%87%8e%e5%8c%ba%ef%bc%89/,お知らせ,"2012-05-23 19:57:32"
平野喜連（大阪市平野区）,https://www.supercourt.jp/topics/%e5%b9%b3%e9%87%8e%e5%96%9c%e9%80%a3%ef%bc%88%e5%a4%a7%e9%98%aa%e5%b8%82%e5%b9%b3%e9%87%8e%e5%8c%ba%ef%bc%89/,お知らせ,"2012-05-23 20:43:36"
箕面小野原（大阪府箕面市）,https://www.supercourt.jp/topics/%e7%ae%95%e9%9d%a2%e5%b0%8f%e9%87%8e%e5%8e%9f%ef%bc%88%e5%a4%a7%e9%98%aa%e5%ba%9c%e7%ae%95%e9%9d%a2%e5%b8%82%ef%bc%89/,お知らせ,"2012-05-23 20:53:59"
門真（大阪府門真市）,https://www.supercourt.jp/topics/%e9%96%80%e7%9c%9f/,お知らせ,"2012-05-23 21:10:12"
介護付有料老人ホーム　スーパー・コート堺神石2号館オープン！,https://www.supercourt.jp/topics/topics-1246/,お知らせ,"2008-02-01 16:20:37"
有料老人ホーム　スーパー・コート堺白鷺オープン！,https://www.supercourt.jp/topics/topics-1250/,お知らせ,"2008-06-01 16:18:14"
スーパー・コートHPをリニューアルいたしました。,https://www.supercourt.jp/topics/%e3%82%b9%e3%83%bc%e3%83%91%e3%83%bc%e3%82%b3%e3%83%bc%e3%83%88hp%e3%82%92%e3%83%aa%e3%83%8b%e3%83%a5%e3%83%bc%e3%82%a2%e3%83%ab%e3%81%84%e3%81%9f%e3%81%97%e3%81%be%e3%81%97%e3%81%9f%e3%80%82/,お知らせ,"2008-08-01 16:20:45"
有料老人ホーム　スーパー・コート高石羽衣オープン予定！,https://www.supercourt.jp/topics/%e6%9c%89%e6%96%99%e8%80%81%e4%ba%ba%e3%83%9b%e3%83%bc%e3%83%a0%e3%80%80%e3%82%b9%e3%83%bc%e3%83%91%e3%83%bc%e3%82%b3%e3%83%bc%e3%83%88%e9%ab%98%e7%9f%b3%e7%be%bd%e8%a1%a3%e3%82%aa%e3%83%bc%e3%83%97/,お知らせ,"2008-08-20 15:56:45"
